districtId,districtName,teacherSalary,perPupilSpending
00010000,Abington,74662,13270.84
00030000,Acushnet,64906,11860.15
00050000,Agawam,64769,14363.21
00070000,Amesbury,77147,13771.87
00080000,Amherst,71730,20236.57
00090000,Andover,81211,15601.7
00100000,Arlington,66493,13382.77
00140000,Ashland,76355,13607.92
00160000,Attleboro,76386,12980.4
00170000,Auburn,69481,13580.88
00180000,Avon,67547,14284.49
00200000,Barnstable,78757,15012.81
00230000,Bedford,79410,17839.45
00240000,Belchertown,63183,12591.99
00250000,Bellingham,71691,13220.48
00260000,Belmont,85241,13028.52
00270000,Berkley,72749,13153.79
00280000,Berlin,78541,18680.13
00300000,Beverly,71078,13188.37
00310000,Billerica,74345,15434.97
00350000,Boston,87306,18371.88
00360000,Bourne,74419,14969.23
00380000,Boxford,75957,16222.12
00390000,Boylston,74289,13226.44
00400000,Braintree,73535,13837.58
00410000,Brewster,82766,20571.79
00430000,Brimfield,63328,15328.55
00440000,Brockton,79723,14213.65
00450000,Brookfield,62631,11503.75
00460000,Brookline,91507,17652.46
00480000,Burlington,90475,19237.98
00490000,Cambridge,78456,27568.87
00500000,Canton,77664,14167.52
00510000,Carlisle,91182,18050.16
00520000,Carver,67723,14157.78
00560000,Chelmsford,73471,13288.93
00570000,Chelsea,64772,13770.23
00610000,Chicopee,65358,13659.72
00630000,Clarksburg,61635,14913.44
00640000,Clinton,66247,12929.6
00650000,Cohasset,82963,14937.37
00670000,Concord,94282,17517.12
00680000,Conway,57322,15545.57
00710000,Danvers,78183,14607.15
00720000,Dartmouth,73412,12487.23
00730000,Dedham,76417,17779.6
00740000,Deerfield,66349,13787.63
00770000,Douglas,66853,11612.24
00780000,Dover,95020,24262.82
00790000,Dracut,70080,11318.39
00820000,Duxbury,74411,13156.23
00830000,East Bridgewater,72188,10399.97
00850000,Eastham,84365,26985.63
00860000,Easthampton,70494,12916.13
00870000,East Longmeadow,73819,13554.78
00880000,Easton,73226,12730.58
00890000,Edgartown,87633,24122.94
00910000,Erving,69342,19288.82
00930000,Everett,76272,13258.53
00940000,Fairhaven,65648,12046.13
00950000,Fall River,66693,14133.01
00960000,Falmouth,74830,15840.38
00970000,Fitchburg,70158,13783.33
00980000,Florida,40903,17823.27
00990000,Foxborough,80964,15206.93
01000000,Framingham,76040,17447.64
01010000,Franklin,73230,12435.24
01030000,Gardner,61036,12241.87
01050000,Georgetown,66512,12601.51
01070000,Gloucester,72400,16065.93
01090000,Gosnold,34588,#N/A
01100000,Grafton,67559,11043.15
01110000,Granby,57229,11933.06
01140000,Greenfield,60968,14543.52
01170000,Hadley,60970,12553.08
01180000,Halifax,78775,13890.7
01210000,Hancock,48959,12912.35
01220000,Hanover,76609,12535.52
01250000,Harvard,83504,15798.53
01270000,Hatfield,58030,13521.52
01280000,Haverhill,67376,12300.82
01310000,Hingham,77082,12367.63
01330000,Holbrook,62041,14780.86
01350000,Holland,61098,13414.13
01360000,Holliston,78598,13446.3
01370000,Holyoke,67517,15742.27
01380000,Hopedale,65526,11836.82
01390000,Hopkinton,82436,13534.81
01410000,Hudson,73889,14637.03
01420000,Hull,80206,17670.73
01440000,Ipswich,68727,14069.27
01450000,Kingston,66560,12522.89
01480000,Lanesborough,58259,16615.01
01490000,Lawrence,70872,14474.68
01500000,Lee,64212,16517.82
01510000,Leicester,72758,12761.79
01520000,Lenox,72217,17527.3
01530000,Leominster,68580,13305.19
01540000,Leverett,62374,18537.6
01550000,Lexington,80975,18208.07
01570000,Lincoln,86451,20982.38
01580000,Littleton,72469,13993.38
01590000,Longmeadow,69770,14385.39
01600000,Lowell,76951,13851.06
01610000,Ludlow,59724,14296.91
01620000,Lunenburg,74592,12424.04
01630000,Lynn,73395,13693.16
01640000,Lynnfield,79560,13899.53
01650000,Malden,83740,13643.34
01670000,Mansfield,77465,13790.47
01680000,Marblehead,67142,13677.99
01690000,Marion,82742,15978.45
01700000,Marlborough,75495,15843.17
01710000,Marshfield,70582,12709
01720000,Mashpee,73750,16804.31
01730000,Mattapoisett,73206,15816.8
01740000,Maynard,68774,14641.79
01750000,Medfield,78845,13848.61
01760000,Medford,73138,16133.37
01770000,Medway,85216,13307.78
01780000,Melrose,60939,12057.62
01810000,Methuen,77384,12808.32
01820000,Middleborough,67080,13515.17
01840000,Middleton,69763,15071.79
01850000,Milford,71246,13339.7
01860000,Millbury,75778,14989.37
01870000,Millis,76193,13489.87
01890000,Milton,80117,14116.37
01910000,Monson,60397,13955.42
01960000,Nahant,76600,14220.05
01970000,Nantucket,84528,20736.02
01980000,Natick,68893,14044.07
01990000,Needham,87555,15900.3
02010000,New Bedford,73320,13144.71
02040000,Newburyport,78278,14269.38
02070000,Newton,75665,18096.3
02080000,Norfolk,81344,14898
02090000,North Adams,62613,15583.61
02100000,Northampton,58980,14056.81
02110000,North Andover,77466,12054.9
02120000,North Attleborough,72079,11245.15
02130000,Northborough,78504,14848.5
02140000,Northbridge,68961,12437.24
02150000,North Brookfield,71668,13352.56
02170000,North Reading,73771,14137.48
02180000,Norton,65933,13218.59
02190000,Norwell,76313,14352.38
02200000,Norwood,73187,15479.54
02210000,Oak Bluffs,86824,19732.92
02230000,Orange,61325,12411.62
02240000,Orleans,73527,20785.04
02260000,Oxford,65892,13125.98
02270000,Palmer,67521,14119.7
02290000,Peabody,75438,13495.79
02300000,Pelham,70952,17297.3
02310000,Pembroke,75527,11467.47
02340000,Petersham,66998,15032.12
02360000,Pittsfield,64515,14459.81
02380000,Plainville,69227,14548.61
02390000,Plymouth,66619,14934.64
02400000,Plympton,71657,16166.98
