schoolId,schoolName,districtId,enrollmentK,enrollment1,enrollment2,enrollment3,enrollment4,enrollment5,enrollment6,enrollment7,enrollment8,averageClassSize
03480285,Worcester - University Pk Campus School,34800000,0,0,0,0,0,0,0,44,44,0
03480280,Worcester - Vernon Hill School,34800000,79,71,67,66,63,55,76,0,0,0
03480026,Worcester - Wawecus Road School,34800000,17,24,24,19,24,25,19,0,0,0
03480260,Worcester - West Tatnuck,34800000,44,48,42,43,38,34,46,0,0,0
03480030,Worcester - Woodland Academy,34800000,113,107,83,100,71,66,58,0,0,0
03480225,Worcester - Worcester Arts Magnet School,34800000,57,70,61,46,58,43,44,0,0,0
03480420,Worcester - Worcester East Middle,34800000,0,0,0,0,0,0,84,355,349,0
03480605,Worcester - Worcester Technical High,34800000,0,0,0,0,0,0,0,0,0,0
03500010,Wrentham - Charles E Roderick,35000000,0,0,0,0,133,163,161,0,0,0
03500003,Wrentham - Delaney,35000000,110,130,132,148,0,0,0,0,0,0
07350515,North Middlesex - Peter Fitzpatrick School,07350000,0,0,0,0,0,0,0,0,0,0
02290005,Peabody - Captain Samuel Brown,02290000,51,61,54,69,64,59,0,0,0,0
07550515,Ralph C Mahar - Pathways Early College Innovation School,07550000,0,0,0,0,0,0,0,0,0,0
07550525,Ralph C Mahar - The Gateway to College,07550000,0,0,0,0,0,0,0,0,0,0
01090005,Gosnold - Cuttyhunk Elementary,01090000,0,0,0,0,1,1,0,0,0,2
02290007,Peabody - John E Burke,02290000,41,48,38,55,51,53,0,0,0,2
02290035,Peabody - South Memorial,02290000,66,66,59,61,66,55,0,0,0,2.8
01600085,Lowell - Laura Lee Therapeutic Day School,01600000,0,2,1,0,4,2,3,4,0,2.9
01140030,Greenfield - Green River,01140000,0,0,0,0,1,2,3,3,0,3
02290045,Peabody - West Memorial,02290000,26,39,33,30,52,47,0,0,0,3
00790515,Dracut - Parker Avenue School,00790000,0,0,0,0,0,0,0,0,0,3.2
02290015,Peabody - Center,02290000,65,69,80,66,55,75,0,0,0,3.2
03100310,Wareham - West Academy,03100000,0,0,0,0,0,0,0,0,4,3.2
01280073,Haverhill - TEACH,01280000,0,0,3,0,4,2,2,2,5,3.6
01760510,Medford - Curtis-Tufts,01760000,0,0,0,0,0,0,0,0,0,3.7
02810345,Springfield - Springfield Public Day Middle School,02810000,0,0,0,0,0,0,16,17,25,3.9
02290016,Peabody - John E. McCarthy,02290000,39,35,33,35,38,31,0,0,0,4
02580515,Salem - Salem Prep High School,02580000,0,0,0,0,0,0,0,0,0,4.2
07650015,Southern Berkshire - Monterey,07650000,6,0,0,0,0,0,0,0,0,4.2
02740410,Somerville - Next Wave Junior High,02740000,0,0,0,0,0,0,2,6,12,4.5
00930030,Everett - Devens School,00930000,0,1,3,2,1,1,1,3,7,4.6
02810550,Springfield - Springfield Public Day High School,02810000,0,0,0,0,0,0,0,0,0,4.7
01210005,Hancock - Hancock Elementary,01210000,5,5,6,4,3,4,6,0,0,4.9
01630080,Lynn - William R Fallon,01630000,0,4,3,9,8,9,7,0,0,5.1
00350036,Boston - Carter Developmental Center,00350000,0,0,0,0,0,0,0,1,5,5.3
00440080,Brockton - B B Russell Alternative School,00440000,0,0,0,0,0,0,0,6,6,5.4
02810560,Springfield - Liberty Preparatory Academy,02810000,0,0,0,0,0,0,0,0,0,5.4
00350750,Boston - Horace Mann School for the Deaf,00350000,6,6,9,3,7,7,4,11,7,5.5
01490537,Lawrence - School for Exceptional Studies,01490000,0,5,17,10,15,16,20,12,19,5.5
01600320,Lowell - Leblanc Therapeutic Day School,01600000,0,0,0,0,0,0,0,0,7,5.5
00610021,Chicopee - Chicopee Academy,00610000,0,0,0,0,0,0,2,6,12,5.8
00440400,Brockton - Goddard Alternative School,00440000,0,0,0,0,1,1,4,4,4,5.9
07500007,Pioneer Valley - Pearl E Rhodes Elementary,07500000,9,5,2,3,8,5,5,0,0,5.9
03320515,West Springfield - 21st Century Skills Academy,03320000,0,0,0,0,0,0,0,0,0,6
02010510,New Bedford - Trinity Day Academy,02010000,0,0,0,0,0,0,0,2,6,6.1
00950326,Fall River - Stone Therapeutic Day Middle School,00950000,0,0,0,0,0,0,9,10,13,6.2
06730001,Groton-Dunstable - Boutwell School,06730000,0,0,0,0,0,0,0,0,0,6.2
01280033,Haverhill - Haverhill Alternative School,01280000,0,0,0,0,0,0,1,6,9,6.4
01530515,Leominster - Leominster Center for Excellence,01530000,0,0,0,0,0,0,0,0,0,6.4
00140005,Ashland - William Pittaway Elementary,00140000,0,0,0,0,0,0,0,0,0,6.5
02630010,Savoy - Emma L Miller Elementary School,02630000,7,9,4,4,3,8,0,0,0,6.5
01000001,Framingham - Juniper Hill School,01000000,0,0,0,0,0,0,0,0,0,6.7
01630525,Lynn - Fecteau-Leary Junior/Senior High School,01630000,0,0,0,0,0,0,0,7,14,6.7
07170015,Mohawk Trail - Heath Elementary,07170000,10,2,5,6,1,2,13,0,0,6.7
00950055,Fall River - ACESE,00950000,0,0,0,2,4,7,0,0,0,6.8
07650030,Southern Berkshire - South Egremont,07650000,8,5,0,0,0,0,0,0,0,6.8
02810005,Springfield - Springfield Public Day Elementary School,02810000,1,7,10,13,16,8,0,0,0,6.8
00970510,Fitchburg - Goodrich Academy,00970000,0,0,0,0,0,0,0,0,0,6.9
00350363,Boston - William McKinley,00350000,2,5,12,12,16,32,28,27,29,7.1
02010515,New Bedford - Whaling City Junior/Senior High School,02010000,0,0,0,0,0,0,2,5,17,7.5
02260305,Oxford - Project C.O.F.F.E.E.,02260000,0,0,0,0,0,0,0,2,8,7.8
06350010,Central Berkshire - Berkshire Trail Elementary,06350000,6,12,4,11,7,13,0,0,0,7.9
02290510,Peabody - Peabody Veterans Memorial High,02290000,0,0,0,0,0,0,0,0,0,7.9
00250510,Bellingham - Primavera Junior/Senior High School,00250000,0,0,0,0,0,0,0,0,6,8
00350066,Boston - Dante Alighieri Montessori School,00350000,14,16,12,9,6,0,0,0,0,8.1
02580001,Salem - Salem Early Childhood,02580000,2,0,0,0,0,0,0,0,0,8.1
03100315,Wareham - Wareham Cooperative Junior/Senior High School,03100000,0,0,0,0,0,0,0,3,7,8.1
01760605,Medford - Medford Vocational Technical High,01760000,0,0,0,0,0,0,0,0,0,8.3
00440515,Brockton - Brockton Champion High School,00440000,0,0,0,0,0,0,0,0,0,8.5
02740510,Somerville - Full Circle High School,02740000,0,0,0,0,0,0,0,0,0,8.5
00160515,Attleboro - Attleboro Community Academy,00160000,0,0,0,0,0,0,0,0,0,8.9
02810360,Springfield - Balliet Middle School,02810000,0,0,0,0,0,0,6,12,34,8.9
07700605,Tantasqua - Tantasqua Regional Vocational,07700000,0,0,0,0,0,0,0,0,0,8.9
00490065,Cambridge - John M Tobin,00490000,38,40,39,29,29,32,0,0,0,9
00950335,Fall River - Resiliency Middle School,00950000,0,0,0,0,0,0,0,21,18,9
00350518,Boston - Community Academy,00350000,0,0,0,0,0,0,0,0,0,9.1
02810570,Springfield - Springfield High School,02810000,0,0,0,0,0,0,0,0,0,9.4
01490536,Lawrence - High School Learning Center,01490000,0,0,0,0,0,0,0,0,0,9.5
00980005,Florida - Abbott Memorial,00980000,7,10,13,9,4,11,6,11,11,9.6
01700006,Marlborough - Early Childhood Center,01700000,0,0,0,0,0,0,0,0,0,9.6
01390003,Hopkinton - Hopkinton Pre-School,01390000,0,0,0,0,0,0,0,0,0,9.7
01280045,Haverhill - Moody,01280000,0,0,0,0,0,0,0,0,0,9.8
07500009,Pioneer Valley - Warwick Community School,07500000,10,3,8,11,7,1,10,0,0,9.8
02430005,Quincy - Amelio Della Chiesa Early Childhood Center,02430000,0,0,0,0,0,0,0,0,0,9.8
03360003,Weymouth - Johnson Early Childhood Center,03360000,0,0,0,0,0,0,0,0,0,9.8
04150505,Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,04150000,0,0,0,0,0,0,0,0,0,9.9
07650018,Southern Berkshire - New Marlborough Central,07650000,17,13,18,14,13,0,0,0,0,9.9
00950325,Fall River - Resiliency Preparatory School,00950000,0,0,0,0,0,0,0,0,0,10
02930525,Taunton - Taunton Alternative High School,02930000,0,0,0,0,0,0,0,0,0,10
01530005,Leominster - Lincoln School,01530000,0,0,0,0,0,0,0,0,0,10.2
07740010,Up-Island Regional - Chilmark Elementary,07740000,9,10,8,11,12,12,0,0,0,10.3
01500505,Lee - Lee Middle/High School,01500000,0,0,0,0,0,0,0,51,51,10.6
02480520,Revere - Seacoast School,02480000,0,0,0,0,0,0,0,0,0,10.6
03260013,Westford - Millennium Elementary,03260000,0,0,0,0,0,0,0,0,0,10.6
07650505,Southern Berkshire - Mt Everett Regional,07650000,0,0,0,0,0,0,0,55,52,10.8
01520505,Lenox - Lenox Memorial High,01520000,0,0,0,0,0,0,59,61,49,10.9
02090505,North Adams - Drury High,02090000,0,0,0,0,0,0,0,0,98,10.9
02810565,Springfield - Early College High School,02810000,0,0,0,0,0,0,0,0,0,10.9
00490090,Cambridge - Fletcher/Maynard Academy,00490000,42,40,45,22,30,30,0,0,0,11.1
00440520,Brockton - Edison Academy,00440000,0,0,0,0,0,0,0,0,0,11.2
01270505,Hatfield - Smith Academy,01270000,0,0,0,0,0,0,0,31,38,11.2
